Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2018,"11        ",Male,19,Right-Handed,183,,183,2,"Rail (Train/Tram/Subway)",60,0.298,38,"Table Tennis",1000,0,781,594,1000,1000,,"Right foot",,,"Ring finger",September,Winter,No,No,Pizza/Pasta,Other,"Computers and technology",4,0,4,"Yes - broadband connection","Internet chat or instant messaging",0,2,10,2,6,1,0,30,2,10,50,0,0,0,,"High school",Other,"Super strength",Rich,Other,Health
USA,NY,2017,"6         ",Male,10,Right-Handed,,20.5,141,1,Bicycle,144,0.397,62,"Hockey (Ice)",999,999,998,888,111,222,21,"Right foot",55,55,"Same length",August,Fall,Yes,No,Meat,Milk,"Physical education",6,4,4,"Yes - broadband connection","Cell phone",0,0,20,0.3,2,10,10,,,,,,,,,,,,,,
USA,NY,2019,"11        ",Female,16,Right-Handed,155,22,150,3,Car,15,0.561,55,Athletics,800,800,700,700,700,800,22,"Left foot",65,63,"Index finger",October,Fall,No,No,"Rice/Noodle dishes",Water,Languages,7,8,3,"Yes - broadband connection","Internet chat or instant messaging",150,150,3,1,12,5,0,0,5,7,15,4,0,1,"A lot","Graduate degree",Pop,"Freeze time",Healthy,"Musician or singer",Health
USA,NY,2014,"9         ",Male,14,Right-Handed,77,28,79,2,Car,5,.32,55,Baseball/Softball,,,,,,,27,,3.6,3.1,"Index finger",May,Summer,Yes,No,Pizza/Pasta,"Sports drink",English,7,10,5,"Yes - other","Text messaging",200,250,21,0,15,5,14,8,20,70,10,20,0,3,None,"Undergraduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person","Arts, culture, sports"
USA,NY,2019,"12        ",Female,16,Right-Handed,5'2,25cm,"155 c",2,Walk,15,0.594,58,"Martial Arts",1000,500,700,1000,200,500,25,"Same length",6cm,6cm,"Same length",November,Fall,No,No,"No favorite",Water,Music,6,10,5,"Yes - dial-up connection","Text messaging",0,2,3,0,5,3,1,0,1,1,1,6,0,6,Some,"Graduate degree",Pop,"Freeze time",Healthy,Relative,"Wildlife, animals"
USA,NY,2017,"12        ",Male,17,Right-Handed,177.8,25.8,186,2,Car,25,.227,47,Baseball/Softball,850,535,535,123,893,712,268,"Left foot",88.9,93.5,"Ring finger",May,Winter,No,No,Poultry,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","In person",119,237,10,1,18,7,3,1,3,1,10,2,4,1,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,"Business person",Environment
USA,NY,2022,"11        ",Male,15,Right-Handed,174.5,26.4,174,2,Car,16,0.273,43,Soccer,818,690,342,594,230,487,26.9,"Left foot",33,31,"Index finger",March,Winter,Yes,No,"No favorite",Water,Science,8,9,4,"Yes - other","Text messaging",20,25,7,3,12,15,18,5,7,5,30,8,0,0,Some,"Graduate degree",Other,Fly,Happy,"Doctor or nurse",Health
USA,NY,2018,"12        ",Female,17,Right-Handed,160,25,152,2,Car,8,.743,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2015,"12        ",Male,18,Right-Handed,184,29,192,2,"Rail (Train/Tram/Subway)",35,.87,43,Other,722,615,540,535,630,738,29,"Same length",190,115,"Ring finger",January,Fall,No,No,Poultry,Tea,"Physical education",7,8,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,15,5,1,0,2,0,0,24,20,30,3,0,0,None,"Graduate degree",Pop,"Super strength",Happy,"Coach or club leader","International aid"
USA,NY,2011,"11        ",Female,15,Right-Handed,162,24,164,2,Car,10,0.401,35,"Football (American)",572,572,449,,503,476,24,"Same length",100,110,"Ring finger",November,Summer,Yes,No,"No favorite",Water,"Computers and technology",7,5,4,"Yes - broadband connection","Text messaging",65,70,24,12,10,10,10,10,6,6,6,12,15,7,,,,,,,
USA,NY,2019,"6         ",Female,12,Right-Handed,152.4,24.6,152,2,Car,10,0.487,43,Other,1000,800,1000,700,1000,1000,24.6,"Same length",30,28,"Index finger",August,Summer,Yes,No,Fruit,Other,"Mathematics and statistics",9,12,6,"Yes - broadband connection","Text messaging",50,55,15,,,,,,,,,,,,,,,,,,
