Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,TX,2021,"12        ",Female,17,Right-Handed,161,23,156,1,Car,5,.792,60,Dancing,500,700,900,900,500,700,23,"Same length",70,60,"Index finger",September,Summer,Yes,No,Poultry,Tea,Other,7,5,3,"Yes - broadband connection","Text messaging",140,115,10,8,10,8,10+,0,10,15,15,10,12,6,"A lot","Graduate degree",Country,Fly,Healthy,"Doctor or nurse",Health
USA,TX,2016,"12        ",Male,17,Right-Handed,186,33.02,198,1,Car,15,.59,43,Athletics,500,500,400,500,200,700,33.02,"Same length",101.6,101.6,"Same length",February,Winter,Yes,No,Meat,Water,"Mathematics and statistics",6,9,4,"Yes - broadband connection","Text messaging",3,3,8,1,5,2,20,5,0,0,18,0,0,7,"A lot","Graduate degree","Rhythm and blues (R&B)",Telepathy,Healthy,"Sports person",Health
USA,TX,2019,"12        ",Male,17,Right-Handed,165.1,27.30,68.58,3,Car,15,0.514,26,Running/Jogging,800,600,200,500,10000,10000,22.86,"Left foot",8.89,8.128,"Index finger",April,Spring,No,No,Poultry,Tea,"Computers and technology",7,6,3,"Yes - broadband connection",,,,,,7,9,6,35,,,45,,,5,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,"International aid"
USA,TX,2017,"12        ",Male,17,Right-Handed,191.5,28,190,1,Car,3,.337,36,Basketball,400,500,600,300,700,800,27,"Right foot",850,900,"Ring finger",November,Summer,Yes,No,Meat,Water,English,8,11,3,"Yes - broadband connection","In person",21,24,40,2,14,5,8,3,10,2,6,8,0,2,Some,"Graduate degree",Country,Invisibility,,,
USA,TX,2012,"8         ",Male,13,Right-Handed,170,26,163,3,Bus,15,.499,49,"Martial Arts",861,775,888,882,893,893,26,"Same length",80,83,"Ring finger",April,Winter,No,Yes,Pizza/Pasta,Water,Science,7,12,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,2,12,2,10,9,6,12,7,2,12,18,0,0,Some,"Some college",Techno/Electronic,"Freeze time",Rich,"Doctor or nurse","International aid"
USA,TX,2011,"12        ",Male,16,Right-Handed,169,25,182,1,Car,34,0.352,30,Walking/Hiking,835,796,754,,800,856,24.5,"Right foot",80,85,"Ring finger",August,Spring,No,No,Meat,Juice,"Mathematics and statistics",5,7,5,"Yes - broadband connection","Text messaging",237,240,9,30,15,24,3,10,1,105,60,20,0,5,Some,"Graduate degree","Heavy metal","Freeze time",Happy,Relative,Health
USA,TX,2019,"12        ",Male,17,Right-Handed,182,27,180,2,Bicycle,15,.695,40,Cycling,600,600,600,700,800,800,28,"Left foot",130,130,"Same length",April,Winter,Yes,No,Meat,Water,"Physical education",5-6,6-7,6,"Yes - other","Text messaging",80,100,6,1,3,2,12,10,5,10,6,3,24,15,Some,"Undergraduate degree",Country,Invisibility,Healthy,Relative,"International aid"
USA,TX,2022,"12        ",Female,16,Right-Handed,5'3,"7 1/2",,1,Car,20,1.074,41,None,0,0,0,0,0,551,,"Same length",,,"Same length",April,Fall,No,No,"Rice/Noodle dishes",Tea,Other,6,8,3,"Yes - other","Internet chat or instant messaging",100,120,3,10,2,5,0,0,10,10,10,4,0,0,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,Relative,"Wildlife, animals"
USA,TX,2021,"12        ",Male,17,Right-Handed,170,28,169,1,Car,7,0.676,46,Soccer,1000,500,300,200,400,600,27,"Right foot",75,77,"Ring finger",October,Spring,No,No,Pizza/Pasta,Water,Music,8,9,4,"Yes - broadband connection","Text messaging",50,55,8,.5,10,2,6,1,8,8,12,0,20,9,"A lot","Graduate degree","Rock and roll",Telepathy,Happy,"Musician or singer",Environment
USA,TX,2014,"6         ",Female,12,Right-Handed,149,23,60,1,Bus,20,0.484,60,Basketball,,,,,,,23,"Same length",7,7,"Same length",November,Summer,Yes,No,Pizza/Pasta,Tea,Science,3,1,8,"Yes - other","Cell phone",365,11,8,45,0,4,100,20,15,30,100,5,0,4,"A lot","Some college","Rap/Hip hop","Freeze time",Happy,Friend,"Wildlife, animals"
USA,TX,2024,"12        ",Female,17,Right-Handed,162,23,150,1,Car,15,0.334,.39,Tennis,950,900,910,530,350,750,23,"Same length",76,83,"Ring finger",July,Fall,Yes,No,"Rice/Noodle dishes",Tea,Art,5,10,5,"Yes - other","In person",5,8,12,1,1,13,0,28,4,1,35,10,0,6,"A lot","Graduate degree",Other,"Freeze time",Happy,Other,Health
USA,TX,2016,"12        ",Male,16,Right-Handed,175,26,171,3,Car,90,.677,44,Soccer,500,400,250,600,700,950,24,"Right foot",75,70,"Index finger",October,Spring,No,No,Poultry,Tea,History,7,7,6,"Yes - broadband connection","Text messaging",40,50,8,2,12,6,7,3,1,5,6,1,0,3,Some,"Graduate degree",Other,Telepathy,Happy,"Religious figure",Religious
USA,TX,2020,"12        ",Male,18,Right-Handed,5'4,,,2,Car,15,0.547,52,None,500,500,500,400,200,100,,"Same length",,,"Ring finger",October,Spring,No,No,"No favorite",Juice,Science,6-7,9-10,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,5,0,4,2,0,0,2,1,0,0,1,0,"A lot","Some college",Other,Invisibility,Happy,Other,Health
USA,TX,2023,"12        ",Male,18,Left-Handed,5'11,28,180,1,Car,"20 ",2,2,Golf,800,435,1000,900,100,500,28,"Same length",9,10,"Ring finger",April,Summer,No,No,Meat,Water,History,6,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",6,10,40,5,0,30,10,0,25,15,25,15,40,10,None,"Some college",Pop,Telepathy,Happy,"Sports person","Wildlife, animals"
USA,TX,2018,"12        ",Male,17,Right-Handed,185,27,"76 ",1,Car,7,.462,48,Swimming,"700 ",700,700,700,999,999,27,"Right foot",120,120,"Same length",July,Summer,No,No,Pizza/Pasta,"Soft drink (caffeinated)",History,8,10,3,"Yes - broadband connection","Internet chat or instant messaging",3,13,20,"1 ",".5 ",3,4,30,1,"1 ",30,0,0,5,"Very little","Undergraduate degree","Rock and roll",Telepathy,Rich,Politician,"Wildlife, animals"
USA,TX,2024,"10        ",Female,14,Right-Handed,162,22,155,5,Car,15,0.353,30,Dancing,834,952,904,925,524,743,22,"Same length",63,73,"Ring finger",May,Spring,No,No,Other,Other,"Mathematics and statistics",8,14,3,"Yes - other","In person",200,30,3,0,10,10,14,2,5,.5,10,5,0,9,"Very little","Less than high school",Pop,Telepathy,Happy,Actor,Health
USA,TX,2021,"11        ",Female,19,Right-Handed,5'1,23,162,2,Car,15,0.328,69,Soccer,1000,300,900,600,9,400,23,"Same length",10,7,"Index finger",October,Fall,No,No,Meat,"Soft drink (caffeinated)",Science,5,5,4,"Yes - broadband connection","Text messaging",3,1,1,2,8,1,1,1,28,3,2,3,24,5,"A lot","Graduate degree",Pop,"Freeze time",Happy,Actor,"Wildlife, animals"
USA,TX,2016,"12        ",Female,17,Right-Handed,157.4,22,120,2,Car,9,0,0,Cycling,900,700,1000,500,100,200,22,"Same length",2.7,2.8,"Ring finger",February,Fall,Yes,No,"Rice/Noodle dishes",Water,English,"6 ",6,5,"Yes - broadband connection","Text messaging",100,100,11,0,6,8,12,0,11,48,48,5,0,8,Some,"Graduate degree",Techno/Electronic,Invisibility,Happy,Relative,Religious
USA,TX,2014,"12        ",Female,17,Right-Handed,164,26,170,3,Car,20,0.674,32,Tennis,500,1000,1000,1000,1000,1000,26,"Same length",80,75,"Index finger",May,Winter,No,No,"Rice/Noodle dishes",Juice,English,6,10,5,"Yes - broadband connection","Cell phone",300,300,10,0,20,8,4,0,0,70,25,1,12,1,"A lot","Graduate degree",Pop,Telepathy,Rich,"Business person","Wildlife, animals"
USA,TX,2018,"6         ",Male,11,Right-Handed,44.5,23.5,143,1,Bus,"60 ",0.441,43,"Martial Arts",1000,1000,1000,1000,0,0,23,"Right foot",6,6.5,"Ring finger",May,Winter,Yes,No,"No favorite",Other,Other,8,24,6,"Yes - other",Other,0,0,21,7,35,56,35,84,7,7,84,35,1,21,"A lot",Other,Other,Invisibility,Rich,Other,Other
USA,TX,2019,"6         ",Female,12,Right-Handed,163,270,162,1,Walk,8,0.407,"55 ",Swimming,880,880,900,880,0,900,279,"Left foot",80,78,"Index finger",November,Spring,No,No,Desserts,"Soft drink (caffeinated)","Mathematics and statistics",9.5,9,7,"Yes - other","In person",na,na,9.9,0,2,4,9.9,0,0,0,0,5,0,0,"A lot",Other,Pop,Telepathy,Happy,"Coach or club leader","Arts, culture, sports"
USA,TX,2015,"12        ",Male,16,Right-Handed,5169,654,6541,9621,Bus,21065,.347,99999,Gymnastics,57849,49,61646,65196,65165,95198,79797,"Same length",666,77777,"Ring finger",September,Spring,Yes,Yes,Meat,Water,"Physical education",11110,22222,10000,"No internet connection","Myspace, Facebook, other social networking sites, or blog",10,66666,10000,02051,515,1,51,51,51,5,185,4,81,654,"A lot","Less than high school","Heavy metal","Super strength",Healthy,Other,Other
USA,TX,2021,"12        ",Female,17,Right-Handed,160.0,22.2,165,1,Car,4,.727,52,Dancing,500,600,600,600,900,1000,20,"Same length",77,70,"Index finger",December,Summer,No,No,Pizza/Pasta,Water,English,7,8,3,"Yes - broadband connection","Cell phone",50,50,15,5,10,5,10,0,7,2,15,5,0,2,"A lot","Graduate degree",Country,Telepathy,Healthy,Relative,Health
USA,TX,2016,"12        ",Female,17,Right-Handed,,,,1,Car,10,.855,82,Soccer,85,70,80,75,70,71,,"Right foot",,,"Index finger",June,Winter,Yes,No,Pizza/Pasta,Water,Art,9,10,5,,,,,,,,,,,,,,,,,,,,,,,
