Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2022,"7         ",Female,13,Right-Handed,151,22,148,1,Car,5,0.464,64,Soccer,795,950,663,700,100,330,22,"Same length",70,60,"Index finger",February,Summer,Yes,No,Pizza/Pasta,"Soft drink (non-caffeinated)","Mathematics and statistics",8,9,4,"Yes - other","Text messaging",40,70,10,4,4,5,10,1,8,3,10,1/2,0,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,"International aid"
USA,OH,2011,"12        ",Female,16,Right-Handed,161,24,160,1,Car,8,0.484,41,Other,561,455,214,,1000,1000,24,"Left foot",67,68,"Ring finger",August,Summer,No,No,Pizza/Pasta,"Soft drink (caffeinated)","Mathematics and statistics",9,8,5,"Yes - broadband connection","In person",10,25,54,2,5,15,5,,5,3,10,5,25,,"A lot","Graduate degree",Country,Fly,Happy,Friend,Health
USA,OH,2016,"8         ",Female,13,Left-Handed,167,23,161,3,Car,25,0.343,62,None,500,500,500,500,700,1000,23,"Same length",70,80,"Ring finger",December,Summer,No,No,"Rice/Noodle dishes","Soft drink (caffeinated)","Mathematics and statistics",8,6,5,"Yes - broadband connection","In person",100,100,10,3,12,4,2,1,10,20,13,35,0,3,Some,"Graduate degree",Pop,Fly,Famous,Relative,Health
USA,OH,2017,"12        ",Female,17,Right-Handed,152,23,158,1,Car,10,.54,45,Other,567,572,476,786,556,524,22,"Right foot",60,70,"Ring finger",February,Fall,No,No,Pizza/Pasta,Water,,8,8,4,"Yes - broadband connection","Text messaging",100,100,20,80,10,10,50,10,20,70,30,30,30,15,"A lot","Graduate degree",Pop,Invisibility,Happy,Relative,"Wildlife, animals"
USA,OH,2018,"12        ",Male,17,Right-Handed,195,30,190,1,Car,1,.30,32,Basketball,455,460,790,930,280,1000,30,"Same length",13,13,"Same length",April,Summer,No,No,Pizza/Pasta,Tea,Other,6,9,4,"Yes - broadband connection","Text messaging",20,25,72,1,0,1,15,20,40,75,0,5,0,2,Some,Other,Country,Invisibility,Happy,"Sports person","Wildlife, animals"
USA,OH,2013,"4         ",Female,9,Right-Handed,,,,3,Car,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2022,"6         ",,,,154,23,153,,,27,0.432,47,Skateboarding/Rollerblading,,,,,,,21,,90,100,,,Spring,No,No,Soups,Juice,Music,8,13,,,"In person",,,35,2,5,124,132,12,0,1,12,12,0,3,"A lot","Some college",Country,"Super strength",Happy,,Health
USA,OH,2022,"7         ",Male,13,Right-Handed,25.1,26,162.9,2,Bus,15,0.594,45,Soccer,600,900,700,700,50,50,27.90,"Left foot",,,"Same length",December,Winter,Yes,No,Pizza/Pasta,Water,Music,11,12,5,"Yes - other","Cell phone",4,2,2,1,1,168,7,10,7,2,24,27,0,8,"Very little",Other,Other,"Freeze time",Rich,Relative,"Education/Youth development"
USA,OH,2021,"12        ",Male,17,Right-Handed,183,30,188,1,Car,9,0.225,45,Walking/Hiking,299,230,166,203,235,439,30,,,,"Ring finger",July,Fall,No,No,Seafood,"Soft drink (non-caffeinated)","Mathematics and statistics",7,10,4,"Yes - broadband connection",,2,9,7,1,21,10,3,12,2,1,21,10,0,14,Some,"Graduate degree",Jazz,"Freeze time",Rich,"Sports person",Health
USA,OH,2023,"12        ",Male,18,Right-Handed,180,27,71,1,Car,2,.391,49,"Football (American)",904,888,807,797,209,529,26,"Right foot",93,94,"Index finger",September,Summer,No,No,Meat,Water,"Mathematics and statistics",6,8+,5,"Yes - broadband connection","Cell phone",20,40,25hrs,10min,1-2hr,30hrs,10hrs,1hr,0hrs,1hr30,30min,1hr,0,2hrs,None,"Some college","Rap/Hip hop",Telepathy,Happy,"Coach or club leader",Health
USA,OH,2022,"12        ",Female,17,Right-Handed,147,20,145,1,Car,15,0.3,38,Baseball/Softball,600,800,100,800,500,1000,21,"Right foot",71,75,"Ring finger",September,Fall,Yes,No,Soups,Coffee,"Social studies",6,9,5,"Yes - other","Internet chat or instant messaging",120,120,15,2,0,5,20,0,20,20,20,2,20,4,"Very little","Graduate degree",Country,Telepathy,Rich,"Coach or club leader","Arts, culture, sports"
USA,OH,2024,"12        ",Male,17,Right-Handed,196,25,189,1,Car,30,.31,31,Basketball,1000,1000,9999,9998,9999,1000,25,"Same length",9,7,"Index finger",October,Fall,Yes,No,Other,Milk,Science,6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,5,2,0,3,1,2,.5,2,2,5,0,9,4,"Very little","Graduate degree","Rap/Hip hop",Fly,Rich,"Doctor or nurse","Wildlife, animals"
USA,OH,2019,"10        ",Female,16,Left-Handed,169,15,n/a,1.5,Walk,20,.303,35,Skateboarding/Rollerblading,872,930,1000,700,877,834,15,"Same length",63,60,"Index finger",November,Fall,No,No,Other,Water,"Computers and technology",5,8,2,"Yes - broadband connection","Internet chat or instant messaging",2,6,3,0,6,10,0,12,1,5,10,0,0,4,"Very little","Undergraduate degree","Punk rock","Freeze time",Happy,Friend,Environment
USA,OH,2013,"11        ",Male,15,Right-Handed,172,29,169,1,Bus,15,0.235,43,Bowling,1000,250,500,250,750,1000,29,"Same length",74,77,"Ring finger",August,Summer,No,No,Meat,Water,Science,8,5,3,"Yes - broadband connection","Text messaging",30,30,12,2,12,24,8,12,4,6,48,48,0,2,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,Relative,"Wildlife, animals"
USA,OH,2018,"12        ",Male,17,Right-Handed,183,40,30,1,Bus,15,.41,47,Walking/Hiking,700,1000,1000,1000,600,600,40,"Same length",18,18,"Same length",December,Winter,No,No,Pizza/Pasta,Water,Other,4,8,3,"Yes - other","Text messaging",40,40,6,4,0,5,1,10,1,6,2,4,30,1,Some,Other,"Heavy metal","Freeze time",Rich,Relative,"Wildlife, animals"
USA,OH,2019,"10        ",Male,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2023,"7         ",Male,13,Left-Handed,152.5,19,51,1,Bus,30,0.286,41,Other,102,96,0,567,535,770,19,"Same length",70,68,"Index finger",May,Fall,Yes,No,Poultry,Water,Other,11,6,3,"Yes - broadband connection","Internet chat or instant messaging",1,8,0,0,7,0,0,70,0,0,20,23,0,0,Some,"Graduate degree",Classical,Invisibility,Rich,Politician,Religious
USA,OH,2019,"7         ",Male,13,Right-Handed,166,26,176,2,Car,15,.3,,Baseball/Softball,214,214,214,369,1000,1000,25,"Right foot",104,93,"Index finger",October,Summer,No,No,Meat,,History,8,5,4,"Yes - other","Text messaging",60,95,20,90,10,30,50,100,30,80,60,40,2,2,"A lot","Graduate degree",Country,"Super strength",Rich,Friend,"Arts, culture, sports"
USA,OH,2019,"8         ",Female,13,Right-Handed,155,23,156,2,Bus,30,.465,40,Running/Jogging,1000,800,900,800,200,200,23,"Same length",65,65,"Same length",April,Fall,No,No,Soups,Water,Science,8,7,4,"Yes - broadband connection","In person",12,10,7,0,4,24,7,1,0,2,2,1,5,2,Some,"Graduate degree",Pop,Fly,Healthy,"Community leader or elder",Environment
