Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AK,2018,"12        ",Female,16,Right-Handed,161,23,167,1,Bus,20,0.421,46,Skateboarding/Rollerblading,422,610,626,941,385,786,23,"Same length",7,7,"Same length",March,Summer,No,No,Soups,"Powdered drink",Science,5,8,4,"Yes - other","Text messaging",35,30,80,,,,,,,,,,,,,,,,,,
USA,AK,2024,"12        ",Female,17,Right-Handed,163,,163,1,Bus,20,0.368,46,"Football (American)",535,1000,1000,1000,540,1000,20,"Same length",80,85,"Ring finger",January,Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,7,10,"Yes - other","Internet chat or instant messaging",20,62,7,24,3,24,4,5,3,24,168,2,"dont ",dont,"Very little","Some college",Other,Telepathy,Rich,Relative,Health
USA,AK,2021,"11        ",Male,16,Right-Handed,"5,9",,,1,Car,5,,,"Football (American)",,,,,,,,"Same length",,,"Same length",March,Summer,No,No,Poultry,Water,Other,6,8,2,,,,,,,,,,,,,,,,,,,,,,,
USA,AK,2015,"11        ",Female,17,Right-Handed,170,23.5,174,1,Bus,15,0.59,48,None,800,750,800,900,300,500,24,"Left foot",70,75,"Ring finger",June,Fall,No,No,Meat,Water,Art,5,10,8,"Yes - broadband connection","Text messaging",100,110,6,,,,,,,,,,,,,,,,,,
USA,AK,2021,"11        ",Male,16,Right-Handed,171,28,,1,Car,5,0.706,42,"Football (American)",,,,,,,28,"Same length",90,95,"Ring finger",August,Summer,No,No,"Rice/Noodle dishes",Juice,"Physical education",8,10,3,"Yes - broadband connection","In person",20,5,,,,,,,,,,,,,Some,"Some college","Rhythm and blues (R&B)",Telepathy,Healthy,Relative,Health
USA,AK,2016,"11        ",Female,17,Ambidextrous,152.4,90,,1,Car,6,,,Athletics,950,800,1000,900,400,800,92,"Left foot",202,242,"Ring finger",May,Spring,Yes,No,Pizza/Pasta,Tea,Science,7,4,4,"Yes - other",Telephone,40,27,2,5,10,3,5,0,7,3,2,3,13,2,"A lot","Graduate degree",Other,Telepathy,Happy,Relative,"International aid"
USA,AK,2021,"11        ",Male,16,Right-Handed,173,26,73,3,Bus,10,,,Basketball,6,5,1,2,4,3,26,"Same length",8,8,"Same length",November,Spring,No,No,"Rice/Noodle dishes",Tea,History,9,6,5,"Yes - broadband connection","In person",3,27,0,0,5,3,4,2,0,0,1,0.5,0,3,"Very little","Graduate degree",Country,"Freeze time",Healthy,"Religious figure",Religious
USA,AK,2021,"11        ",Female,16,Right-Handed,167,,,2,Car,15,0.374,53,Running/Jogging,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AK,2016,"11        ",Female,17,Right-Handed,64,23,61,2,Car,15,.19,39,"Table Tennis",500,500,500,500,500,500,23,"Same length",67,74,"Ring finger",July,Winter,No,No,Desserts,"Powdered drink",Music,8,11,4,"Yes - broadband connection","Text messaging",14,18,15,7,18,56,4,0,0,14,19,0,7,4,Some,"Undergraduate degree",Other,Telepathy,Happy,Other,"Education/Youth development"
USA,AK,2020,"10        ",Male,16,Right-Handed,173,24,173,1,Bus,40,0.394,44,None,567,872,684,920,296,636,24,"Same length",90,100,"Ring finger",January,Fall,Yes,No,Soups,Coffee,Art,8,7,4,"Yes - broadband connection","Internet chat or instant messaging",300,200,0,0,0,1,0,0.5,0,2,0..5,1,0,1,Some,"High school",Pop,"Freeze time",Happy,Actor,Health
USA,AK,2024,"12        ",Male,17,Right-Handed,5’11,44,5’11,2,Car,20,.7,32,"Football (American)",750,300,550,750,200,700,44,"Same length",35,30,"Ring finger",July,Spring,No,No,Meat,Juice,Geography,10,8,7,"Yes - other","Cell phone",50,50,,,,,,,,,,,,,,,,,,,
USA,AK,2023,"12        ",Female,17,Right-Handed,163,25,160,1,Car,,0.7,84,None,1000,1000,1000,900,300,1000,25,"Same length",115,89,"Ring finger",September,Summer,No,No,Poultry,Water,Other,7,8,4,"Yes - other","Text messaging",48,74,1,3,2,4,0,0,5,1,3,1,0,2,Some,Other,Gospel,Telepathy,Famous,,Religious
USA,AK,2023,"12        ",Female,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AK,2021,"11        ",Female,15,Right-Handed,157.4,,,2,Walk,10-15,.977,57,Other,1000,100,100,100,10,8,,,75,65,"Index finger",April,Fall,Yes,No,"No favorite",Water,"Physical education",6,6,4,"Yes - other","Text messaging",64,103,2-3,1,1,.30,1,2,.15,3,.30,1,2,2,Some,Other,Other,Telepathy,Happy,Relative,Health
USA,AK,2022,"12        ",Male,18,Right-Handed,170,27,182,1,Car,10,0.336,53,Swimming,684,631,631,508,503,513,28,"Left foot",90,80,"Index finger",October,Winter,No,No,Pizza/Pasta,Water,"Physical education",5,12,3,"Yes - broadband connection","Text messaging",58,70,5,75,0,6,0,80,0,10,4,24,0,9,"A lot","High school",Pop,"Freeze time",Rich,Relative,"International aid"
USA,AK,2016,"11        ",Female,17,Right-Handed,64,23,61,1,Car,15,.19,39,"Table Tennis",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AK,2021,"11        ",Male,17,Right-Handed,,,,1,Car,15,,,Skateboarding/Rollerblading,,,,,,,,,,,"Ring finger",September,Summer,No,No,"No favorite",Juice,Science,5,12,3,"Yes - other","In person",,,,,,,,,,,,,,,"A lot",,,Telepathy,Happy,Friend,"Arts, culture, sports"
USA,AK,2020,"10        ",Female,63,Right-Handed,76,10,70,4,Boat,2,9,200,Golf,1,1,1,1,1,1,400,"Left foot",2,5,"Same length",November,Fall,Yes,Yes,Meat,"Energy drink",Other,0,4000,0,"No internet connection","In person",-0,,-0001,0,0,0,0,0,0,0,0,0,0,0,Some,Other,"Heavy metal",Invisibility,Happy,"Community leader or elder",Religious
